Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
11,2018-10-17,IND,,MEM,W 111-83,240,47,83,0.566,37,57,0.649,10,26,0.385,7,13,0.538,111,25,84,0.298,15,55,0.273,10,29,0.345,23,28,0.821,83
12,2018-10-17,MEM,@,IND,L 83-111,240,25,84,0.298,15,55,0.273,10,29,0.345,23,28,0.821,83,47,83,0.566,37,57,0.649,10,26,0.385,7,13,0.538,111
13,2018-10-17,DEN,@,LAC,W 107-98,240,33,87,0.379,25,63,0.397,8,24,0.333,33,42,0.786,107,35,88,0.398,27,60,0.45,8,28,0.286,20,24,0.833,98
14,2018-10-17,LAC,,DEN,L 98-107,240,35,88,0.398,27,60,0.45,8,28,0.286,20,24,0.833,98,33,87,0.379,25,63,0.397,8,24,0.333,33,42,0.786,107
15,2018-10-17,ATL,@,NYK,L 107-126,240,41,90,0.456,31,54,0.574,10,36,0.278,15,18,0.833,107,45,99,0.455,33,66,0.5,12,33,0.364,24,31,0.774,126
16,2018-10-17,NYK,,ATL,W 126-107,240,45,99,0.455,33,66,0.5,12,33,0.364,24,31,0.774,126,41,90,0.456,31,54,0.574,10,36,0.278,15,18,0.833,107
17,2018-10-17,MIA,@,ORL,L 101-104,240,38,97,0.392,29,64,0.453,9,33,0.273,16,22,0.727,101,39,94,0.415,32,69,0.464,7,25,0.28,19,31,0.613,104
18,2018-10-17,ORL,,MIA,W 104-101,240,39,94,0.415,32,69,0.464,7,25,0.28,19,31,0.613,104,38,97,0.392,29,64,0.453,9,33,0.273,16,22,0.727,101
19,2018-10-17,DAL,@,PHO,L 100-121,240,38,88,0.432,28,55,0.509,10,33,0.303,14,20,0.7,100,44,81,0.543,25,47,0.532,19,34,0.559,14,16,0.875,121
20,2018-10-17,PHO,,DAL,W 121-100,240,44,81,0.543,25,47,0.532,19,34,0.559,14,16,0.875,121,38,88,0.432,28,55,0.509,10,33,0.303,14,20,0.7,100
21,2018-10-17,SAC,,UTA,L 117-123,240,49,95,0.516,42,76,0.553,7,19,0.368,12,18,0.667,117,41,79,0.519,28,52,0.538,13,27,0.481,28,38,0.737,123
22,2018-10-17,UTA,@,SAC,W 123-117,240,41,79,0.519,28,52,0.538,13,27,0.481,28,38,0.737,123,49,95,0.516,42,76,0.553,7,19,0.368,12,18,0.667,117
23,2018-10-17,MIN,@,SAS,L 108-112,240,39,91,0.429,33,72,0.458,6,19,0.316,24,27,0.889,108,40,93,0.43,29,68,0.426,11,25,0.44,21,29,0.724,112
24,2018-10-17,SAS,,MIN,W 112-108,240,40,93,0.43,29,68,0.426,11,25,0.44,21,29,0.724,112,39,91,0.429,33,72,0.458,6,19,0.316,24,27,0.889,108
25,2018-10-17,CLE,@,TOR,L 104-116,240,34,85,0.4,27,66,0.409,7,19,0.368,29,39,0.744,104,45,92,0.489,31,59,0.525,14,33,0.424,12,20,0.6,116
26,2018-10-17,TOR,,CLE,W 116-104,240,45,92,0.489,31,59,0.525,14,33,0.424,12,20,0.6,116,34,85,0.4,27,66,0.409,7,19,0.368,29,39,0.744,104
27,2018-10-18,CHI,@,PHI,L 108-127,240,44,101,0.436,33,68,0.485,11,33,0.333,9,12,0.75,108,44,93,0.473,32,57,0.561,12,36,0.333,27,30,0.9,127
28,2018-10-18,PHI,,CHI,W 127-108,240,44,93,0.473,32,57,0.561,12,36,0.333,27,30,0.9,127,44,101,0.436,33,68,0.485,11,33,0.333,9,12,0.75,108
29,2018-10-18,LAL,@,POR,L 119-128,240,45,93,0.484,38,63,0.603,7,30,0.233,22,29,0.759,119,44,100,0.44,31,63,0.492,13,37,0.351,27,29,0.931,128
30,2018-10-18,POR,,LAL,W 128-119,240,44,100,0.44,31,63,0.492,13,37,0.351,27,29,0.931,128,45,93,0.484,38,63,0.603,7,30,0.233,22,29,0.759,119
31,2018-10-18,MIA,@,WAS,W 113-112,240,38,97,0.392,26,62,0.419,12,35,0.343,25,34,0.735,113,38,81,0.469,31,55,0.564,7,26,0.269,29,39,0.744,112
32,2018-10-18,WAS,,MIA,L 112-113,240,38,81,0.469,31,55,0.564,7,26,0.269,29,39,0.744,112,38,97,0.392,26,62,0.419,12,35,0.343,25,34,0.735,113
33,2018-10-19,BRK,,NYK,W 107-105,240,37,75,0.493,25,45,0.556,12,30,0.4,21,24,0.875,107,39,97,0.402,30,69,0.435,9,28,0.321,18,20,0.9,105
34,2018-10-19,NYK,@,BRK,L 105-107,240,39,97,0.402,30,69,0.435,9,28,0.321,18,20,0.9,105,37,75,0.493,25,45,0.556,12,30,0.4,21,24,0.875,107
35,2018-10-19,LAC,,OKC,W 108-92,240,35,81,0.432,24,55,0.436,11,26,0.423,27,36,0.75,108,34,95,0.358,27,62,0.435,7,33,0.212,17,23,0.739,92
36,2018-10-19,OKC,@,LAC,L 92-108,240,34,95,0.358,27,62,0.435,7,33,0.212,17,23,0.739,92,35,81,0.432,24,55,0.436,11,26,0.423,27,36,0.75,108
37,2018-10-19,ATL,@,MEM,L 117-131,240,41,83,0.494,27,53,0.509,14,30,0.467,21,36,0.583,117,44,81,0.543,31,55,0.564,13,26,0.5,30,43,0.698,131
38,2018-10-19,MEM,,ATL,W 131-117,240,44,81,0.543,31,55,0.564,13,26,0.5,30,43,0.698,131,41,83,0.494,27,53,0.509,14,30,0.467,21,36,0.583,117
39,2018-10-19,IND,@,MIL,L 101-118,240,38,87,0.437,32,69,0.464,6,18,0.333,19,27,0.704,101,44,93,0.473,27,47,0.574,17,46,0.37,13,21,0.619,118
40,2018-10-19,MIL,,IND,W 118-101,240,44,93,0.473,27,47,0.574,17,46,0.37,13,21,0.619,118,38,87,0.437,32,69,0.464,6,18,0.333,19,27,0.704,101
41,2018-10-19,CLE,@,MIN,L 123-131,240,45,93,0.484,37,70,0.529,8,23,0.348,25,29,0.862,123,44,87,0.506,34,62,0.548,10,25,0.4,33,35,0.943,131
42,2018-10-19,MIN,,CLE,W 131-123,240,44,87,0.506,34,62,0.548,10,25,0.4,33,35,0.943,131,45,93,0.484,37,70,0.529,8,23,0.348,25,29,0.862,123
43,2018-10-19,NOP,,SAC,W 149-129,240,56,95,0.589,40,64,0.625,16,31,0.516,21,33,0.636,149,50,96,0.521,40,71,0.563,10,25,0.4,19,26,0.731,129
44,2018-10-19,SAC,@,NOP,L 129-149,240,50,96,0.521,40,71,0.563,10,25,0.4,19,26,0.731,129,56,95,0.589,40,64,0.625,16,31,0.516,21,33,0.636,149
45,2018-10-19,CHO,@,ORL,W 120-88,240,43,92,0.467,26,54,0.481,17,38,0.447,17,20,0.85,120,36,94,0.383,30,63,0.476,6,31,0.194,10,14,0.714,88
46,2018-10-19,ORL,,CHO,L 88-120,240,36,94,0.383,30,63,0.476,6,31,0.194,10,14,0.714,88,43,92,0.467,26,54,0.481,17,38,0.447,17,20,0.85,120
47,2018-10-19,BOS,@,TOR,L 101-113,240,40,99,0.404,26,63,0.413,14,36,0.389,7,10,0.7,101,43,92,0.467,30,57,0.526,13,35,0.371,14,19,0.737,113
48,2018-10-19,TOR,,BOS,W 113-101,240,43,92,0.467,30,57,0.526,13,35,0.371,14,19,0.737,113,40,99,0.404,26,63,0.413,14,36,0.389,7,10,0.7,101
49,2018-10-19,GSW,@,UTA,W 124-123,240,49,87,0.563,39,68,0.574,10,19,0.526,16,18,0.889,124,40,89,0.449,21,43,0.488,19,46,0.413,24,29,0.828,123
50,2018-10-19,UTA,,GSW,L 123-124,240,40,89,0.449,21,43,0.488,19,46,0.413,24,29,0.828,123,49,87,0.563,39,68,0.574,10,19,0.526,16,18,0.889,124
51,2018-10-20,CHI,,DET,L 116-118,240,44,87,0.506,37,66,0.561,7,21,0.333,21,26,0.808,116,41,101,0.406,23,61,0.377,18,40,0.45,18,23,0.783,118
52,2018-10-20,DET,@,CHI,W 118-116,240,41,101,0.406,23,61,0.377,18,40,0.45,18,23,0.783,118,44,87,0.506,37,66,0.561,7,21,0.333,21,26,0.808,116
53,2018-10-20,DAL,,MIN,W 140-136,240,49,98,0.5,32,48,0.667,17,50,0.34,25,34,0.735,140,44,84,0.524,30,57,0.526,14,27,0.519,34,40,0.85,136
54,2018-10-20,MIN,@,DAL,L 136-140,240,44,84,0.524,30,57,0.526,14,27,0.519,34,40,0.85,136,49,98,0.5,32,48,0.667,17,50,0.34,25,34,0.735,140
55,2018-10-20,DEN,,PHO,W 119-91,240,43,85,0.506,34,57,0.596,9,28,0.321,24,29,0.828,119,29,77,0.377,18,38,0.474,11,39,0.282,22,35,0.629,91
56,2018-10-20,PHO,@,DEN,L 91-119,240,29,77,0.377,18,38,0.474,11,39,0.282,22,35,0.629,91,43,85,0.506,34,57,0.596,9,28,0.321,24,29,0.828,119
57,2018-10-20,BRK,@,IND,L 112-132,240,41,86,0.477,25,49,0.51,16,37,0.432,14,22,0.636,112,51,92,0.554,35,68,0.515,16,24,0.667,14,22,0.636,132
58,2018-10-20,IND,,BRK,W 132-112,240,51,92,0.554,35,68,0.515,16,24,0.667,14,22,0.636,132,41,86,0.477,25,49,0.51,16,37,0.432,14,22,0.636,112
59,2018-10-20,HOU,@,LAL,W 124-115,240,44,96,0.458,28,54,0.519,16,42,0.381,20,30,0.667,124,48,100,0.48,40,68,0.588,8,32,0.25,11,18,0.611,115
60,2018-10-20,LAL,,HOU,L 115-124,240,48,100,0.48,40,68,0.588,8,32,0.25,11,18,0.611,115,44,96,0.458,28,54,0.519,16,42,0.381,20,30,0.667,124
61,2018-10-20,CHO,@,MIA,W 113-112,240,41,93,0.441,25,51,0.49,16,42,0.381,15,23,0.652,113,41,89,0.461,30,55,0.545,11,34,0.324,19,27,0.704,112
62,2018-10-20,MIA,,CHO,L 112-113,240,41,89,0.461,30,55,0.545,11,34,0.324,19,27,0.704,112,41,93,0.441,25,51,0.49,16,42,0.381,15,23,0.652,113
63,2018-10-20,BOS,@,NYK,W 103-101,240,33,82,0.402,24,57,0.421,9,25,0.36,28,33,0.848,103,36,87,0.414,24,52,0.462,12,35,0.343,17,27,0.63,101
64,2018-10-20,NYK,,BOS,L 101-103,240,36,87,0.414,24,52,0.462,12,35,0.343,17,27,0.63,101,33,82,0.402,24,57,0.421,9,25,0.36,28,33,0.848,103
65,2018-10-20,ORL,@,PHI,L 115-116,240,41,90,0.456,25,61,0.41,16,29,0.552,17,22,0.773,115,45,94,0.479,28,61,0.459,17,33,0.515,9,10,0.9,116
66,2018-10-20,PHI,,ORL,W 116-115,240,45,94,0.479,28,61,0.459,17,33,0.515,9,10,0.9,116,41,90,0.456,25,61,0.41,16,29,0.552,17,22,0.773,115
67,2018-10-20,POR,,SAS,W 121-108,240,45,84,0.536,30,52,0.577,15,32,0.469,16,19,0.842,121,42,100,0.42,29,70,0.414,13,30,0.433,11,14,0.786,108
68,2018-10-20,SAS,@,POR,L 108-121,240,42,100,0.42,29,70,0.414,13,30,0.433,11,14,0.786,108,45,84,0.536,30,52,0.577,15,32,0.469,16,19,0.842,121
69,2018-10-20,TOR,@,WAS,W 117-113,240,39,88,0.443,29,59,0.492,10,29,0.345,29,36,0.806,117,37,89,0.416,24,50,0.48,13,39,0.333,26,32,0.813,113
70,2018-10-20,WAS,,TOR,L 113-117,240,37,89,0.416,24,50,0.48,13,39,0.333,26,32,0.813,113,39,88,0.443,29,59,0.492,10,29,0.345,29,36,0.806,117
71,2018-10-21,ATL,@,CLE,W 133-111,240,48,98,0.49,26,51,0.51,22,47,0.468,15,19,0.789,133,46,99,0.465,36,72,0.5,10,27,0.37,9,14,0.643,111
72,2018-10-21,CLE,,ATL,L 111-133,240,46,99,0.465,36,72,0.5,10,27,0.37,9,14,0.643,111,48,98,0.49,26,51,0.51,22,47,0.468,15,19,0.789,133
73,2018-10-21,DEN,,GSW,W 100-98,240,35,86,0.407,29,54,0.537,6,32,0.188,24,42,0.571,100,36,79,0.456,29,50,0.58,7,29,0.241,19,24,0.792,98
74,2018-10-21,GSW,@,DEN,L 98-100,240,36,79,0.456,29,50,0.58,7,29,0.241,19,24,0.792,98,35,86,0.407,29,54,0.537,6,32,0.188,24,42,0.571,100
75,2018-10-21,HOU,@,LAC,L 112-115,240,43,89,0.483,28,54,0.519,15,35,0.429,11,15,0.733,112,42,89,0.472,37,64,0.578,5,25,0.2,26,26,1,115
76,2018-10-21,LAC,,HOU,W 115-112,240,42,89,0.472,37,64,0.578,5,25,0.2,26,26,1,115,43,89,0.483,28,54,0.519,15,35,0.429,11,15,0.733,112
77,2018-10-21,OKC,,SAC,L 120-131,240,46,104,0.442,37,65,0.569,9,39,0.231,19,30,0.633,120,50,91,0.549,40,69,0.58,10,22,0.455,21,28,0.75,131
78,2018-10-21,SAC,@,OKC,W 131-120,240,50,91,0.549,40,69,0.58,10,22,0.455,21,28,0.75,131,46,104,0.442,37,65,0.569,9,39,0.231,19,30,0.633,120
79,2018-10-22,BOS,,ORL,L 90-93,240,37,91,0.407,28,51,0.549,9,40,0.225,7,9,0.778,90,38,93,0.409,28,58,0.483,10,35,0.286,7,10,0.7,93
80,2018-10-22,ORL,@,BOS,W 93-90,240,38,93,0.409,28,58,0.483,10,35,0.286,7,10,0.7,93,37,91,0.407,28,51,0.549,9,40,0.225,7,9,0.778,90
81,2018-10-22,CHI,@,DAL,L 109-115,240,41,80,0.513,28,57,0.491,13,23,0.565,14,21,0.667,109,40,93,0.43,25,46,0.543,15,47,0.319,20,21,0.952,115
82,2018-10-22,DAL,,CHI,W 115-109,240,40,93,0.43,25,46,0.543,15,47,0.319,20,21,0.952,115,41,80,0.513,28,57,0.491,13,23,0.565,14,21,0.667,109
83,2018-10-22,GSW,,PHO,W 123-103,240,45,88,0.511,31,51,0.608,14,37,0.378,19,26,0.731,123,39,86,0.453,30,52,0.577,9,34,0.265,16,18,0.889,103
84,2018-10-22,PHO,@,GSW,L 103-123,240,39,86,0.453,30,52,0.577,9,34,0.265,16,18,0.889,103,45,88,0.511,31,51,0.608,14,37,0.378,19,26,0.731,123
85,2018-10-22,LAL,,SAS,L 142-143 (OT),265,55,107,0.514,41,68,0.603,14,39,0.359,18,26,0.692,142,50,97,0.515,35,69,0.507,15,28,0.536,28,38,0.737,143
86,2018-10-22,SAS,@,LAL,W 143-142 (OT),265,50,97,0.515,35,69,0.507,15,28,0.536,28,38,0.737,143,55,107,0.514,41,68,0.603,14,39,0.359,18,26,0.692,142
87,2018-10-22,MIL,,NYK,W 124-113,240,45,96,0.469,28,56,0.5,17,40,0.425,17,24,0.708,124,45,99,0.455,35,70,0.5,10,29,0.345,13,15,0.867,113
88,2018-10-22,NYK,@,MIL,L 113-124,240,45,99,0.455,35,70,0.5,10,29,0.345,13,15,0.867,113,45,96,0.469,28,56,0.5,17,40,0.425,17,24,0.708,124
89,2018-10-22,IND,@,MIN,L 91-101,240,36,92,0.391,28,66,0.424,8,26,0.308,11,16,0.688,91,36,85,0.424,29,52,0.558,7,33,0.212,22,24,0.917,101
90,2018-10-22,MIN,,IND,W 101-91,240,36,85,0.424,29,52,0.558,7,33,0.212,22,24,0.917,101,36,92,0.391,28,66,0.424,8,26,0.308,11,16,0.688,91
91,2018-10-22,POR,,WAS,L 124-125 (OT),265,43,108,0.398,32,69,0.464,11,39,0.282,27,31,0.871,124,46,110,0.418,31,73,0.425,15,37,0.405,18,26,0.692,125
92,2018-10-22,WAS,@,POR,W 125-124 (OT),265,46,110,0.418,31,73,0.425,15,37,0.405,18,26,0.692,125,43,108,0.398,32,69,0.464,11,39,0.282,27,31,0.871,124
93,2018-10-22,CHO,@,TOR,L 106-127,240,41,97,0.423,32,69,0.464,9,28,0.321,15,18,0.833,106,50,87,0.575,35,48,0.729,15,39,0.385,12,14,0.857,127
94,2018-10-22,TOR,,CHO,W 127-106,240,50,87,0.575,35,48,0.729,15,39,0.385,12,14,0.857,127,41,97,0.423,32,69,0.464,9,28,0.321,15,18,0.833,106
95,2018-10-22,MEM,@,UTA,W 92-84,240,31,84,0.369,22,56,0.393,9,28,0.321,21,26,0.808,92,29,82,0.354,21,50,0.42,8,32,0.25,18,23,0.783,84
96,2018-10-22,UTA,,MEM,L 84-92,240,29,82,0.354,21,50,0.42,8,32,0.25,18,23,0.783,84,31,84,0.369,22,56,0.393,9,28,0.321,21,26,0.808,92
97,2018-10-23,DEN,,SAC,W 126-112,240,51,99,0.515,40,69,0.58,11,30,0.367,13,15,0.867,126,45,86,0.523,32,55,0.582,13,31,0.419,9,20,0.45,112
98,2018-10-23,SAC,@,DEN,L 112-126,240,45,86,0.523,32,55,0.582,13,31,0.419,9,20,0.45,112,51,99,0.515,40,69,0.58,11,30,0.367,13,15,0.867,126
99,2018-10-23,DET,,PHI,W 133-132 (OT),265,51,108,0.472,39,75,0.52,12,33,0.364,19,27,0.704,133,49,98,0.5,35,55,0.636,14,43,0.326,20,28,0.714,132
100,2018-10-23,PHI,@,DET,L 132-133 (OT),265,49,98,0.5,35,55,0.636,14,43,0.326,20,28,0.714,132,51,108,0.472,39,75,0.52,12,33,0.364,19,27,0.704,133
101,2018-10-23,LAC,@,NOP,L 109-116,240,41,87,0.471,36,67,0.537,5,20,0.25,22,27,0.815,109,40,93,0.43,34,69,0.493,6,24,0.25,30,40,0.75,116
102,2018-10-23,NOP,,LAC,W 116-109,240,40,93,0.43,34,69,0.493,6,24,0.25,30,40,0.75,116,41,87,0.471,36,67,0.537,5,20,0.25,22,27,0.815,109
103,2018-10-24,ATL,,DAL,W 111-104,240,37,91,0.407,22,53,0.415,15,38,0.395,22,31,0.71,111,38,91,0.418,26,51,0.51,12,40,0.3,16,26,0.615,104
104,2018-10-24,DAL,@,ATL,L 104-111,240,38,91,0.418,26,51,0.51,12,40,0.3,16,26,0.615,104,37,91,0.407,22,53,0.415,15,38,0.395,22,31,0.71,111
105,2018-10-24,CHI,,CHO,W 112-110,240,37,77,0.481,27,48,0.563,10,29,0.345,28,35,0.8,112,37,85,0.435,27,50,0.54,10,35,0.286,26,29,0.897,110
106,2018-10-24,CHO,@,CHI,L 110-112,240,37,85,0.435,27,50,0.54,10,35,0.286,26,29,0.897,110,37,77,0.481,27,48,0.563,10,29,0.345,28,35,0.8,112
107,2018-10-24,BRK,@,CLE,W 102-86,240,38,87,0.437,24,53,0.453,14,34,0.412,12,15,0.8,102,34,89,0.382,31,71,0.437,3,18,0.167,15,16,0.938,86
108,2018-10-24,CLE,,BRK,L 86-102,240,34,89,0.382,31,71,0.437,3,18,0.167,15,16,0.938,86,38,87,0.437,24,53,0.453,14,34,0.412,12,15,0.8,102
109,2018-10-24,GSW,,WAS,W 144-122,240,53,92,0.576,38,59,0.644,15,33,0.455,23,25,0.92,144,42,93,0.452,30,51,0.588,12,42,0.286,26,28,0.929,122
110,2018-10-24,WAS,@,GSW,L 122-144,240,42,93,0.452,30,51,0.588,12,42,0.286,26,28,0.929,122,53,92,0.576,38,59,0.644,15,33,0.455,23,25,0.92,144
111,2018-10-24,HOU,,UTA,L 89-100,240,35,87,0.402,24,47,0.511,11,40,0.275,8,14,0.571,89,34,78,0.436,24,49,0.49,10,29,0.345,22,28,0.786,100
112,2018-10-24,UTA,@,HOU,W 100-89,240,34,78,0.436,24,49,0.49,10,29,0.345,22,28,0.786,100,35,87,0.402,24,47,0.511,11,40,0.275,8,14,0.571,89
113,2018-10-24,MIA,,NYK,W 110-87,240,39,82,0.476,26,53,0.491,13,29,0.448,19,28,0.679,110,33,91,0.363,21,58,0.362,12,33,0.364,9,14,0.643,87
114,2018-10-24,NYK,@,MIA,L 87-110,240,33,91,0.363,21,58,0.362,12,33,0.364,9,14,0.643,87,39,82,0.476,26,53,0.491,13,29,0.448,19,28,0.679,110
115,2018-10-24,MIL,,PHI,W 123-108,240,41,100,0.41,28,57,0.491,13,43,0.302,28,30,0.933,123,38,92,0.413,27,58,0.466,11,34,0.324,21,30,0.7,108
116,2018-10-24,PHI,@,MIL,L 108-123,240,38,92,0.413,27,58,0.466,11,34,0.324,21,30,0.7,108,41,100,0.41,28,57,0.491,13,43,0.302,28,30,0.933,123
117,2018-10-24,LAL,@,PHO,W 131-113,240,52,100,0.52,42,72,0.583,10,28,0.357,17,23,0.739,131,44,84,0.524,34,53,0.642,10,31,0.323,15,21,0.714,113
118,2018-10-24,PHO,,LAL,L 113-131,240,44,84,0.524,34,53,0.642,10,31,0.323,15,21,0.714,113,52,100,0.52,42,72,0.583,10,28,0.357,17,23,0.739,131
119,2018-10-24,MEM,@,SAC,L 92-97,240,36,94,0.383,26,57,0.456,10,37,0.27,10,13,0.769,92,35,83,0.422,29,65,0.446,6,18,0.333,21,33,0.636,97
120,2018-10-24,SAC,,MEM,W 97-92,240,35,83,0.422,29,65,0.446,6,18,0.333,21,33,0.636,97,36,94,0.383,26,57,0.456,10,37,0.27,10,13,0.769,92
121,2018-10-24,IND,@,SAS,W 116-96,240,46,87,0.529,29,55,0.527,17,32,0.531,7,8,0.875,116,35,87,0.402,29,68,0.426,6,19,0.316,20,21,0.952,96
122,2018-10-24,SAS,,IND,L 96-116,240,35,87,0.402,29,68,0.426,6,19,0.316,20,21,0.952,96,46,87,0.529,29,55,0.527,17,32,0.531,7,8,0.875,116
123,2018-10-24,MIN,@,TOR,L 105-112,240,40,96,0.417,25,66,0.379,15,30,0.5,10,16,0.625,105,46,89,0.517,35,57,0.614,11,32,0.344,9,12,0.75,112
124,2018-10-24,TOR,,MIN,W 112-105,240,46,89,0.517,35,57,0.614,11,32,0.344,9,12,0.75,112,40,96,0.417,25,66,0.379,15,30,0.5,10,16,0.625,105
125,2018-10-25,CLE,@,DET,L 103-110,240,41,89,0.461,33,65,0.508,8,24,0.333,13,15,0.867,103,41,78,0.526,30,50,0.6,11,28,0.393,17,29,0.586,110
126,2018-10-25,DET,,CLE,W 110-103,240,41,78,0.526,30,50,0.6,11,28,0.393,17,29,0.586,110,41,89,0.461,33,65,0.508,8,24,0.333,13,15,0.867,103
127,2018-10-25,DEN,@,LAL,L 114-121,240,46,92,0.5,40,69,0.58,6,23,0.261,16,20,0.8,114,46,92,0.5,36,63,0.571,10,29,0.345,19,23,0.826,121
128,2018-10-25,LAL,,DEN,W 121-114,240,46,92,0.5,36,63,0.571,10,29,0.345,19,23,0.826,121,46,92,0.5,40,69,0.58,6,23,0.261,16,20,0.8,114
129,2018-10-25,BOS,@,OKC,W 101-95,240,33,86,0.384,22,54,0.407,11,32,0.344,24,33,0.727,101,37,94,0.394,30,66,0.455,7,28,0.25,14,25,0.56,95
130,2018-10-25,OKC,,BOS,L 95-101,240,37,94,0.394,30,66,0.455,7,28,0.25,14,25,0.56,95,33,86,0.384,22,54,0.407,11,32,0.344,24,33,0.727,101
131,2018-10-25,ORL,,POR,L 114-128,240,43,86,0.5,31,56,0.554,12,30,0.4,16,20,0.8,114,48,87,0.552,37,60,0.617,11,27,0.407,21,26,0.808,128
132,2018-10-25,POR,@,ORL,W 128-114,240,48,87,0.552,37,60,0.617,11,27,0.407,21,26,0.808,128,43,86,0.5,31,56,0.554,12,30,0.4,16,20,0.8,114
133,2018-10-26,CHI,@,CHO,L 106-135,240,37,85,0.435,21,49,0.429,16,36,0.444,16,22,0.727,106,53,93,0.57,39,61,0.639,14,32,0.438,15,16,0.938,135
134,2018-10-26,CHO,,CHI,W 135-106,240,53,93,0.57,39,61,0.639,14,32,0.438,15,16,0.938,135,37,85,0.435,21,49,0.429,16,36,0.444,16,22,0.727,106
135,2018-10-26,HOU,,LAC,L 113-133,240,38,98,0.388,23,57,0.404,15,41,0.366,22,25,0.88,113,43,79,0.544,31,56,0.554,12,23,0.522,35,38,0.921,133
136,2018-10-26,LAC,@,HOU,W 133-113,240,43,79,0.544,31,56,0.554,12,23,0.522,35,38,0.921,133,38,98,0.388,23,57,0.404,15,41,0.366,22,25,0.88,113
137,2018-10-26,MIL,@,MIN,W 125-95,240,49,92,0.533,30,46,0.652,19,46,0.413,8,11,0.727,125,36,112,0.321,26,69,0.377,10,43,0.233,13,18,0.722,95
138,2018-10-26,MIN,,MIL,L 95-125,240,36,112,0.321,26,69,0.377,10,43,0.233,13,18,0.722,95,49,92,0.533,30,46,0.652,19,46,0.413,8,11,0.727,125
139,2018-10-26,BRK,@,NOP,L 115-117,240,43,98,0.439,24,58,0.414,19,40,0.475,10,15,0.667,115,44,98,0.449,35,75,0.467,9,23,0.391,20,26,0.769,117
140,2018-10-26,NOP,,BRK,W 117-115,240,44,98,0.449,35,75,0.467,9,23,0.391,20,26,0.769,117,43,98,0.439,24,58,0.414,19,40,0.475,10,15,0.667,115
141,2018-10-26,GSW,@,NYK,W 128-100,240,51,87,0.586,35,54,0.648,16,33,0.485,10,12,0.833,128,39,90,0.433,26,51,0.51,13,39,0.333,9,12,0.75,100
142,2018-10-26,NYK,,GSW,L 100-128,240,39,90,0.433,26,51,0.51,13,39,0.333,9,12,0.75,100,51,87,0.586,35,54,0.648,16,33,0.485,10,12,0.833,128
143,2018-10-26,SAC,,WAS,W 116-112,240,44,95,0.463,30,58,0.517,14,37,0.378,14,23,0.609,116,40,86,0.465,26,44,0.591,14,42,0.333,18,23,0.783,112
144,2018-10-26,WAS,@,SAC,L 112-116,240,40,86,0.465,26,44,0.591,14,42,0.333,18,23,0.783,112,44,95,0.463,30,58,0.517,14,37,0.378,14,23,0.609,116
